exp_id	commit	recall	latency_ms	llm_cost_usd	status	description
exp_000	48f31eb	0.900000	208.1	0.000000	keep	baseline
exp_001	discarded	0.600000	24.9	0.000318	discard	Hybrid BM25 and Semantic RRF
exp_002	discarded	0.600000	23.9	0.000324	discard	Hybrid BM25 and Semantic Scores
exp_003	discarded	0.300000	11.7	0.000284	discard	Weighted title similarity boost
exp_004	discarded	0.600000	10.8	0.000234	discard	Pure semantic search with reranking
exp_005	discarded	0.600000	27.8	0.000327	discard	BM25 fallback and score integration
exp_006	discarded	0.800000	11.9	0.000294	discard	Use vote average to rerank
exp_007	discarded	0.600000	27.0	0.000295	discard	Boost BM25 with exact matches
exp_008	discarded	0.600000	9.8	0.000234	discard	Simple semantic retrieval only
exp_009	discarded	0.600000	25.1	0.000277	discard	Use wider pool, rank by BM25.
exp_010	discarded	0.600000	21.0	0.000347	discard	Hybrid BM25 and vector integration.
exp_011	discarded	0.700000	11.7	0.000303	discard	Re-rank candidates using vote average.
exp_012	discarded	0.600000	24.9	0.000344	discard	BM25 score weighted candidate reranking
exp_013	discarded	0.600000	25.5	0.000344	discard	Combine BM25 and vector scores
exp_014	discarded	0.600000	27.2	0.000368	discard	BM25 score weighted candidate pool
exp_015	discarded	0.400000	13.5	0.000342	discard	Weighted popularity and genre re-ranking
exp_016	discarded	0.000000	62.4	0.000396	discard	RRF on BM25 and Vector
exp_017	discarded	0.600000	25.3	0.000352	discard	Hybrid vector and BM25 scaling.
exp_018	discarded	0.600000	28.2	0.000339	discard	Boost with normalized BM25 scores.
exp_019	discarded	0.700000	8.0	0.000319	discard	Boost popularity by vote_average.
exp_020	discarded	0.600000	12.5	0.000342	discard	Boosted search by normalized ratings and title word match.
exp_021	discarded	0.600000	25.0	0.000322	discard	Rank by BM25, filter by semantic.
exp_022	discarded	0.200000	13.9	0.000320	discard	RRF on title-boosted semantic candidates
exp_023	discarded	0.500000	424.5	0.000323	discard	Use BM25 for retrieval, re-rank with vector similarity.
exp_024	crash	0.000000	0.0	0.000396	crash	Ensemble BM25 and vector scores.
exp_025	discarded	0.600000	13.4	0.000360	discard	Title similarity weight and semantic rank.
exp_026	discarded	0.600000	12.2	0.000285	discard	BM25 only, simpler retrieval.
exp_027	discarded	0.600000	29.4	0.000368	discard	Weight by semantic and BM25.
exp_028	discarded	0.800000	11.2	0.000363	discard	Vector search with metadata reranking
exp_029	discarded	0.700000	11.7	0.000333	discard	Weighted vote_average and vector boost
exp_030	discarded	0.700000	26.7	0.000374	discard	Hybrid weighted semantic and BM25.
exp_032	discarded	0.700000	10.8	0.000325	discard	Rank by vote-weighted semantic score.
exp_033	discarded	0.700000	10.3	0.000337	discard	Boost precision via vote count weighting.
exp_034	discarded	0.700000	8.2	0.000321	discard	Simple normalized semantic rank.
exp_035	discarded	0.600000	24.3	0.000351	discard	# RRF with BM25 and Semantic
exp_036	discarded	0.600000	12.9	0.000335	discard	Title-boosted FAISS candidate retrieval.
exp_037	discarded	0.700000	12.6	0.000355	discard	Weighted semantic and vote score.
exp_038	discarded	0.700000	12.5	0.000333	discard	Rerank using vote_average and distance.
exp_039	discarded	0.600000	12.0	0.000281	discard	Simple semantic search, no reranking.
exp_040	discarded	0.600000	20.0	0.000348	discard	Weighted BM25 and semantic rank
exp_041	discarded	0.600000	10.6	0.000280	discard	# Pure semantic, minimal operations.
exp_042	discarded	0.600000	12.5	0.000335	discard	# Use BM25 primary ranking
exp_043	discarded	0.600000	11.5	0.000338	discard	# Filter by vote_average threshold.
exp_044	discarded	0.600000	11.9	0.000363	discard	Boost semantic search with release date recency.
exp_045	discarded	0.600000	22.3	0.000353	discard	Hybrid similarity with scalar scaling.
exp_046	discarded	0.600000	27.3	0.000379	discard	Simple BM25 plus semantic RRF.
exp_047	discarded	0.600000	21.1	0.000387	discard	# Hybrid retrieval: BM25 + Semantic
exp_048	discarded	0.700000	26.4	0.000379	discard	Rank by weighted semantic and BM25.
exp_049	discarded	0.600000	2332.0	0.000390	discard	Rank by BM25, filter semantic.
exp_050	discarded	0.600000	141.9	0.000336	discard	# BM25 top 50, rerank vector
exp_051	discarded	0.600000	11.6	0.000295	discard	Simplify semantic search performance
